NAME,INTERNET,READ_PHONE_STATE,ACCESS_NETWORK_STATE,WRITE_EXTERNAL_STORAGE,READ_SMS,ACCESS_WIFI_STATE,RECEIVE_BOOT_COMPLETED,WRITE_SMS,SEND_SMS,RECEIVE_SMS,VIBRATE,ACCESS_COARSE_LOCATION,READ_CONTACTS,CALL_PHONE,ACCESS_FINE_LOCATION,WAKE_LOCK,WRITE_CONTACTS,CHANGE_WIFI_STATE,WRITE_APN_SETTINGS,RESTART_PACKAGES
5359D2F33FB072609D589B054FBE9BF0BA14FBFD.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
5A1FD697C3ECD3D050B3D88D8A8649A1.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0
5c325c70250cbd294fae4cb321b3d8d39f1c1cd3.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
5DD722C5FCE53C8C26ADF522641E5FACFE976BC7.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
5f0ba094e83ee321b331a3acd7252ae92b4d5734.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
5fdcb3d86a949d73ddbf721640733917dc300d41.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
62f6d3b57f0bcea6b9edebff7d67b4a1fb7ece7d.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
65f66e7b862db8c23074da1c2fe697d594ca1cdc.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
6a6176fc043b821b1ceb48425f2bce9c1f3a6cb8.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
6c0b900a17faf11d9efc68951b2d04fdb180bfe8.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
6c13a359586f9cab20f2bc9b4fd8294e61e6e852.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
6d6b779ea0b3d31c9453db8268b1e85463fe4725.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
6EB92667EBBBCB2C7DDF6230462222FD.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
735B4E78B334F6B9EB19E700A4C30966.apk,1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7c50a08472732593558ee18fc48693052b205e45428d0163df7f5346dd4e8bf5.apk,1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.1-Metro-Lock-Launcher_v1.8.9pakage.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0
835576FB19E60F6186F86706CF03AC45.apk,1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1
8b4b2d8e1f051b3789c3d8f320136f9ebe75ef5f73c0f524e9875601a4ba5a68.apk,1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
8F7A41A921FC15F4FD47A33E476D7B3B_1074179_370437__SkullLighter.apk,1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
93922EE5FBD149F31B0161DECA76DF77.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
97C2D04AA0F3C3B446FC228C1DBC4837.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
AajTak_v1.28pakage.apk,1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0
About-India_v5.26pakage.apk,1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Ace-Cleaner-(Boost--Optimize)_v1.1.8pakage.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0
Air-India_v2.0.16pakage.apk,1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0
All-Government-Job_v3.3pakage.apk,1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
Amazing-Photo-Editor_v2.5pakage.apk,1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Anatomy-Learning---3D-Atlas_v1.0pakage.apk,1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Android.Hehe_1CAA31272DAABB43180E079BCA5E23C1.apk,1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
AntiVirus-FREE-2016---Android_v5.9.0.1pakage.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1
Antivirus_v1.2.8pakage.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
App-Lock-Advance_v4.1pakage.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0
appinventor.ai_T10D78.FIFA12-1-1.4.apk,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
appinventor.ai_T10D78.GlobalWarRiot-1-1.7.apk,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
