NAME,INTERNET,READ_PHONE_STATE,ACCESS_NETWORK_STATE,WRITE_EXTERNAL_STORAGE,READ_SMS,ACCESS_WIFI_STATE,RECEIVE_BOOT_COMPLETED,WRITE_SMS,SEND_SMS,RECEIVE_SMS,VIBRATE,ACCESS_COARSE_LOCATION,READ_CONTACTS,CALL_PHONE,ACCESS_FINE_LOCATION,WAKE_LOCK,WRITE_CONTACTS,CHANGE_WIFI_STATE,WRITE_APN_SETTINGS,RESTART_PACKAGES
1D5774C06E483E1BA4160D63334385178AE42162.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
20bf4c9d0a84ac0f711ccf34110f526f2b216ae74c2a96de3d90e771e9de2ad4.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
20F4CD2BAA09E0BD5E12DAB50C0898CD.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
21266E72C8BECBB439CB6D77F174B5ECCEFA2769.apk,1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0
228A4B723BF3D8ADC53A69DD0F36C746.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
23549741658E6B1D52654691F974B01E7ECA5F24.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
2B90FCA41272BEC8B8FFEFBB2456C001.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
2C055D7B5199604CD5CF3441073B36B3.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2C3B92FFE8123611AE9D9BED000C99F7_1074807_371216__3dtimeclockticks.apk,1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2c82604a5b8cd48e841f4a37173df1b0.apk,1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
2EED7318CA564A909E75AD616CAD5CDF.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
2F4D81EF1B10BF72D0DBA0FDF354527F.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
3065EBD6658A50262869277FF29B03DD621CA1C6.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
30DFC598D7C3E60D12695F5827F6507F6C1FEEAA.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
312C111D3E6CDDFA7F8F782525D792DE0776EC72.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
314d66e71040b36ba63ad5a376647dd63ecf3a5c.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
31EBA30C1B7120EAA23BA23F7DCE3BF5F41D5F4A.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
33230c13dcc066e05daded0641f0af21d624119a5bb8c131ca6d2e21cd8edc1a.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
370FE3D8E9B40702B08A5F93003DE0D3.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1
388C84DF0A057321F5BD6DFA9A8F66E6F95D2779.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
39A5BB63F946F2AF6489456A1281B06D.apk,1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1
3E076979644672A0EF750A4C3226F553_assassins_creed.apk,1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
3eea7a9bdeba1c6de34dc79de831784c.apk,1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
3F2017A5ACB3E57801E2771341287001.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
4021A1E00B3ABEE730994F1EE17219B4.apk,1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1
40449A2EC48C3E630B2EB8C8089828CF.apk,1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
410C995EBD564A1010ED12108F53CBB2A495D7B4.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
45293E19012648EBB25D84AD259C097F6DAD7C5C.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
4728CDC4D652F6E7682D660CB72E21479E9183A2.apk,1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0
49DAC3B35AFB2E8D3605C72D0D83F631.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
4b5ef7c8150e764cc0782eab7ca7349c02c78fceb1036ce3064d35037913f5b6.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
4B7450406A38B522E69DE1426604BF7F.apk,1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
4D258A710BAB46600DCD56AEB3080CC86C90C03B.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
4FD1194F8127439609319CDBE244C0A7_1074349_370686__BlueArt.apk,1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50C62996453422C438DC1282E646F30233CE6E6E.apk,1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0
5124795A3537F2F06ABB021D14A74402_com.bktballelite.com.apk,1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
542F8F77E101D4E8E5D1EF34A3F0DF1C.apk,1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
55d716895ea0934c4a91e1e2cfbd682dec30cb2f.apk,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0
